"District","Turnout","Outcome","FPTP.Winner","FPTP.Winner.Votes","AV.Winner","AV.Winner.Votes","Rounds"
"Totnes","47843","Unaltered","Con","21940","Con","25454","6"
"Tottenham","40687","Unaltered","Lab","24128","Lab","24128","1"
"Truro & Falmouth","48768","Altered","Con","20349","LD","25469","5"
"Tunbridge Wells","50320","Unaltered","Con","28302","Con","28302","1"
"Twickenham","59721","Unaltered","LD","32483","LD","32483","1"
"Tynemouth","52668","Unaltered","Lab","23860","Lab","30258","5"
"Tyneside North","46405","Unaltered","Lab","23505","Lab","23505","1"
"Tyrone West","37275","Unaltered","SF","18050","SF","18691","3"
"Ulster Mid","40842","Unaltered","SF","21239","SF","21239","1"
"Upper Bann","41383","Unaltered","DUP","14000","DUP","14626","4"
"Uxbridge & Ruislip South","45076","Unaltered","Con","21758","Con","23530","5"
"Vale of Clwyd","35534","Unaltered","Lab","15017","Lab","19417","6"
"Vale of Glamorgan","48667","Unaltered","Con","20341","Con","29432","6"
"Vauxhall","43191","Unaltered","Lab","21498","Lab","21641","4"
"Wakefield","44444","Altered","Lab","17454","Con","22160","5"
"Wallasey","41654","Unaltered","Lab","21578","Lab","21578","1"
"Walsall North","36187","Altered","Lab","13385","Con","20615","6"
"Walsall South","40882","Altered","Lab","16211","Con","20928","5"
"Walthamstow","40994","Unaltered","Lab","21252","Lab","21252","1"
"Wansbeck","38273","Unaltered","Lab","17548","Lab","18149","7"
"Wantage","56341","Unaltered","Con","29284","Con","29284","1"
"Warley","38270","Unaltered","Lab","20240","Lab","20240","1"
"Warrington North","44211","Unaltered","Lab","20135","Lab","24691","3"
"Warrington South","54874","Unaltered","Con","19641","Con","32536","4"
"Warwick & Leamington","49032","Unaltered","Con","20876","Con","28545","5"
"Warwickshire North","47265","Altered","Con","18993","Lab","24420","5"
"Washington & Sunderland West","37334","Unaltered","Lab","19615","Lab","19615","1"
"Watford","55208","Altered","Con","19291","LD","33264","5"
"Waveney","51141","Altered","Con","20571","Lab","25766","5"
"Wealden","54969","Unaltered","Con","31090","Con","31090","1"
"Weaver Vale","43990","Altered","Con","16953","Lab","24410","8"
"Wellingborough","51661","Unaltered","Con","24918","Con","26635","7"
"Wells","55864","Unaltered","LD","24560","LD","29389","5"
"Welwyn Hatfield","48972","Unaltered","Con","27894","Con","27894","1"
"Wentworth & Dearne","42106","Unaltered","Lab","21316","Lab","21316","1"
"West Bromwich East","37950","Unaltered","Lab","17657","Lab","21377","5"
"West Bromwich West","36171","Altered","Lab","16263","Con","18428","4"
"West Ham","46951","Unaltered","Lab","29422","Lab","29422","1"
"Westminster North","39598","Altered","Lab","17377","Con","20093","9"
"Westmorland & Lonsdale","51487","Unaltered","LD","30896","LD","30896","1"
"Weston-Super-Mare","52716","Altered","Con","23356","LD","26437","6"
"Wigan","44140","Unaltered","Lab","21404","Lab","26436","4"
"Wiltshire North","48699","Unaltered","Con","25114","Con","25114","1"
"Wiltshire South West","49018","Unaltered","Con","25321","Con","25321","1"
"Wimbledon","47395","Unaltered","Con","23257","Con","24171","4"
"Winchester","55955","Unaltered","Con","27155","Con","28797","3"
"Windsor","49588","Unaltered","Con","30172","Con","30172","1"
"Wirral South","39906","Unaltered","Lab","16276","Lab","21175","3"
"Wirral West","39372","Unaltered","Con","16726","Con","19283","5"
"Witham","46835","Unaltered","Con","24448","Con","24448","1"
"Witney","57769","Unaltered","Con","33973","Con","33973","1"
"Woking","52786","Unaltered","Con","26551","Con","26551","1"
"Wokingham","54528","Unaltered","Con","28754","Con","28754","1"
"Wolverhampton North East","34894","Unaltered","Lab","14448","Lab","17947","5"
"Wolverhampton South East","34707","Unaltered","Lab","16505","Lab","17822","4"
"Wolverhampton South West","40160","Unaltered","Con","16344","Con","21090","4"
"Worcester","48974","Unaltered","Con","19358","Con","26669","8"
"Worcestershire Mid","50931","Unaltered","Con","27770","Con","27770","1"
"Worcestershire West","54093","Unaltered","Con","27213","Con","27213","1"
"Workington","39259","Unaltered","Lab","17865","Lab","21859","5"
"Worsley & Eccles South","41701","Unaltered","Lab","17892","Lab","23005","4"
"Worthing East & Shoreham","48397","Unaltered","Con","23458","Con","26831","4"
"Worthing West","49123","Unaltered","Con","25416","Con","25416","1"
"Wrekin, The","45968","Unaltered","Con","21922","Con","23427","2"
"Wrexham","32976","Unaltered","Lab","12161","Lab","22220","5"
"Wycombe","48151","Unaltered","Con","23423","Con","25546","4"
"Wyre & Preston North","51308","Unaltered","Con","26877","Con","26877","1"
"Wyre Forest","50899","Unaltered","Con","18793","Con","27451","4"
"Wythenshawe & Sale East","40751","Unaltered","Lab","17987","Lab","22539","5"
"Yeovil","57160","Unaltered","LD","31843","LD","31843","1"
"Ynys Mon","34444","Unaltered","Lab","11490","Lab","12768","6"
"York Central","46483","Unaltered","Lab","18573","Lab","26133","6"
"York Outer","53300","Altered","Con","22912","LD","28332","4"
"Yorkshire East","51254","Unaltered","Con","24328","Con","26193","4"
