y	x_norm	votesh_so	cutoff_34	cutoff_37	cutoff_40	cutoff_43	cutoff_46	cutoff_49
0	36.28127670288086	31.85936164855957	1	0	0	0	0	0
0	-19.90867233276367	58.66666412353516	0	0	0	0	0	0
0	-12.41886615753174	56.20943450927734	0	0	0	0	0	0
0	-17.47235298156738	58.73617553710938	0	0	0	0	0	0
0	-13.84947490692139	31.57001686096191	1	1	0	0	0	0
0	-7.028095245361328	31.23641586303711	1	1	0	0	0	0
1	-7.9856276512146	49.48070526123047	0	0	0	0	0	1
1	5.805590629577637	36.04587936401367	1	1	0	0	0	0
1	25.20639228820801	33.92203903198242	1	0	0	0	0	0
0	71.71891784667969	10.90020179748535	0	0	0	0	0	0
1	2.737870693206787	43.44490432739258	0	0	0	1	0	0
0	-56.59472274780273	56.67465972900391	0	0	0	0	0	0
0	-16.39175415039063	58.19587707519531	0	0	0	0	0	0
0	-13.86051940917969	33.76130676269531	1	1	0	0	0	0
0	34.72423553466797	32.63788223266602	1	0	0	0	0	0
0	-11.7657299041748	46.54000473022461	0	0	0	0	1	1
0	4.064530372619629	46.26021575927734	0	0	0	0	1	0
0	-6.557759761810303	53.27888107299805	0	0	0	0	0	0
1	5.028676986694336	34.40709686279297	1	0	0	0	0	0
0	8.079221725463867	45.56219100952148	0	0	0	0	1	0
1	-11.64788341522217	44.93975830078125	0	0	0	1	1	0
0	1.48262083530426	49.25868988037109	0	0	0	0	0	1
0	-10.08453369140625	36.90915679931641	1	1	1	0	0	0
0	-24.79380798339844	47.56134796142578	0	0	0	0	1	1
0	42.99422073364258	21.28255462646484	0	0	0	0	0	0
1	-7.322421550750732	53.30312728881836	0	0	0	0	0	0
1	15.1983528137207	36.59196090698242	0	1	0	0	0	0
0	57.47991943359375	21.10441780090332	0	0	0	0	0	0
0	-.2830743789672852	49.46216201782227	0	0	0	0	0	1
0	4.732778549194336	47.63360977172852	0	0	0	0	1	1
1	13.41830921173096	24.44959449768066	0	0	0	0	0	0
0	2.681136131286621	47.35473251342773	0	0	0	0	1	0
0	-6.162643432617188	41.14781951904297	0	0	1	1	0	0
0	20.61224365234375	39.69387817382813	0	0	1	0	0	0
0	-12.05985832214355	56.02992630004883	0	0	0	0	0	0
