y	cutoff	region	region_cmb	region_group	x	x_norm
19.069	-46.4	13	7	3	-44.595001	1.8049988
7.4840012	-51.4	1	1	6	-63.07	-11.67
8.2919998	-49.4	2	2	5	-51.985001	-2.5850005
5.814003	-43.4	6	3	2	-62.205002	-18.805002
6.6549988	-51.4	3	1	6	-74.574997	-23.174997
7.2099991	-47.4	9	5	4	-43.739998	3.6600022
-3.1279984	-43.4	8	3	2	-46.259998	-2.8599982
19.809998	-49.4	5	2	5	-50.970001	-1.5700012
9.9070015	-49.4	5	2	5	-42.915001	6.4849992
19.651001	-51.4	4	1	6	-42.875	8.5249996
15.25	-46.4	13	7	3	-45.209999	1.1900009
10.707001	-47.4	9	5	4	-49.66	-2.2599998
9.1639977	-42.4	7	4	1	-52.735001	-10.335001
16.199001	-46.4	13	7	3	-49.165001	-2.7650008
8.368	-49.4	2	2	5	-49.845001	-.44500121
11.049	-51.4	4	1	6	-48.220001	3.1799989
13.651005	-46.4	13	7	3	-55.18	-8.7800007
14.598	-46.4	13	7	3	-47.549999	-1.1499993
15.189003	-46.4	13	7	3	-55.669998	-9.2699986
10.251999	-46.4	13	7	3	-54.305	-7.9050002
19.526001	-46.4	13	7	3	-50.665001	-4.2650008
7.276001	-46.4	13	7	3	-67.705002	-21.305002
14.264	-46.4	13	7	3	-51.595001	-5.1950011
22.193005	-42.4	7	4	1	-48.285	-5.8849998
-18.228998	-43.4	8	3	2	-46.455002	-3.0550017
12.548	-46.4	13	7	3	-56.794998	-10.394999
10.473999	-43.4	8	3	2	-45.349998	-1.9499985
20.327999	-46.4	13	7	3	-37.885002	8.5149975
15.436001	-46.4	13	7	3	-44.209999	2.190001
16.638	-49.4	2	2	5	-50.614998	-1.2149979
21.740002	-42.4	7	4	1	-41.080002	1.3199981
8.2150002	-52.4	12	6	7	-62.474998	-10.074999
13.381001	-49.4	5	2	5	-50.150002	-.75000155
23.961998	-49.4	5	2	5	-44.709999	4.690001
