x	y	x_norm	cutoff_10189	cutoff_13585	cutoff_16981	cutoff_23773	cutoff_30565	cutoff_37356	cutoff_44148
28524	0	-2041	0	0	0	1	1	0	0
21046.666	1	-2726.334	0	0	1	1	0	0	0
11369.667	0	1180.667	1	1	0	0	0	0	0
9130.667	0	-1058.333	1	0	0	0	0	0	0
9890	0	-299	1	0	0	0	0	0	0
10801.333	1	612.33301	1	1	0	0	0	0	0
8619	1	-1570	1	0	0	0	0	0	0
14810.667	0	1225.667	0	1	1	0	0	0	0
9367.667	0	-821.33301	1	0	0	0	0	0	0
9023.333	0	-1165.667	1	0	0	0	0	0	0
46325	0	2177	0	0	0	0	0	0	1
14858.333	1	1273.333	0	1	1	0	0	0	0
16173.333	1	-807.66699	0	1	1	0	0	0	0
24314.334	1	541.33398	0	0	0	1	1	0	0
26929	1	3156	0	0	0	1	1	0	0
16403	0	-578	0	1	1	0	0	0	0
33160.332	1	2595.332	0	0	0	0	1	1	0
13461.333	0	-123.66699	1	1	0	0	0	0	0
12480.333	0	-1104.667	1	1	0	0	0	0	0
42921.668	0	-1226.332	0	0	0	0	0	1	1
43807.668	0	-340.33203	0	0	0	0	0	1	1
9235	0	-954	1	0	0	0	0	0	0
8421.667	0	-1767.333	1	0	0	0	0	0	0
9719.667	0	-469.33301	1	0	0	0	0	0	0
36864	0	-492	0	0	0	0	1	1	0
36864	1	-492	0	0	0	0	1	1	0
38845.668	1	1489.668	0	0	0	0	0	1	1
13623.667	1	38.666992	0	1	1	0	0	0	0
13513.333	0	-71.666992	1	1	0	0	0	0	0
11328.333	0	1139.333	1	1	0	0	0	0	0
11757.667	0	1568.667	1	1	0	0	0	0	0
16920.334	1	-60.666016	0	1	1	0	0	0	0
11588.667	0	1399.667	1	1	0	0	0	0	0
10343.667	0	154.66699	1	1	0	0	0	0	0
10343.667	1	154.66699	1	1	0	0	0	0	0
13586.333	0	1.3330078	0	1	1	0	0	0	0
12206.667	1	-1378.333	1	1	0	0	0	0	0
20706.334	1	-3066.666	0	0	1	1	0	0	0
15300.333	0	-1680.667	0	1	1	0	0	0	0
9270	1	-919	1	0	0	0	0	0	0
24915.666	0	1142.666	0	0	0	1	1	0	0
27658.334	0	-2906.666	0	0	0	1	1	0	0
6860.6665	0	-3328.3335	1	0	0	0	0	0	0
6921.3335	0	-3267.6665	1	0	0	0	0	0	0
8048.3335	1	-2140.6665	1	0	0	0	0	0	0
14411	0	826	0	1	1	0	0	0	0
14038	0	453	0	1	1	0	0	0	0
13633.333	1	48.333008	0	1	1	0	0	0	0
10923.333	0	734.33301	1	1	0	0	0	0	0
10923.333	0	734.33301	1	1	0	0	0	0	0
14406.667	0	821.66699	0	1	1	0	0	0	0
13994.667	1	409.66699	0	1	1	0	0	0	0
14373.333	0	788.33301	0	1	1	0	0	0	0
25704	0	1931	0	0	0	1	1	0	0
7704.6665	0	-2484.3335	1	0	0	0	0	0	0
7465	0	-2724	1	0	0	0	0	0	0
34709.332	1	-2646.668	0	0	0	0	1	1	0
17991	1	1010	0	0	1	1	0	0	0
7639.3335	0	-2549.6665	1	0	0	0	0	0	0
42083	0	-2065	0	0	0	0	0	1	1
7156.6665	1	-3032.3335	1	0	0	0	0	0	0
11174.333	0	985.33301	1	1	0	0	0	0	0
13817.667	1	232.66699	0	1	1	0	0	0	0
18511	0	1530	0	0	1	1	0	0	0
19063.666	0	2082.666	0	0	1	1	0	0	0
30683	0	118	0	0	0	0	1	1	0
26021	1	2248	0	0	0	1	1	0	0
8173.6665	0	-2015.3335	1	0	0	0	0	0	0
8784.667	1	-1404.333	1	0	0	0	0	0	0
31055.334	0	490.33398	0	0	0	0	1	1	0
17188.334	1	207.33398	0	0	1	1	0	0	0
18791.666	0	1810.666	0	0	1	1	0	0	0
20145	1	3164	0	0	1	1	0	0	0
35494	0	-1862	0	0	0	0	1	1	0
8437.667	0	-1751.333	1	0	0	0	0	0	0
9586	0	-603	1	0	0	0	0	0	0
17979.666	0	998.66602	0	0	1	1	0	0	0
17726.334	1	745.33398	0	0	1	1	0	0	0
9962.667	0	-226.33301	1	0	0	0	0	0	0
18372.334	1	1391.334	0	0	1	1	0	0	0
7744.3335	1	-2444.6665	1	0	0	0	0	0	0
7744.3335	1	-2444.6665	1	0	0	0	0	0	0
8195.667	1	-1993.333	1	0	0	0	0	0	0
9810.333	1	-378.66699	1	0	0	0	0	0	0
25824	0	2051	0	0	0	1	1	0	0
30165.666	0	-399.33398	0	0	0	1	1	0	0
10687.333	1	498.33301	1	1	0	0	0	0	0
11001	1	812	1	1	0	0	0	0	0
12267.667	1	-1317.333	1	1	0	0	0	0	0
7617.6665	1	-2571.3335	1	0	0	0	0	0	0
41273.332	0	-2874.668	0	0	0	0	0	1	1
18061.666	1	1080.666	0	0	1	1	0	0	0
7695.3335	0	-2493.6665	1	0	0	0	0	0	0
10415.667	1	226.66699	1	1	0	0	0	0	0
20569.334	0	-3203.666	0	0	1	1	0	0	0
35420.668	0	-1935.332	0	0	0	0	1	1	0
13922.667	0	337.66699	0	1	1	0	0	0	0
12839	1	-746	1	1	0	0	0	0	0
7024.3335	1	-3164.6665	1	0	0	0	0	0	0
29941.334	1	-623.66602	0	0	0	1	1	0	0
29941.334	0	-623.66602	0	0	0	1	1	0	0
19969.334	1	2988.334	0	0	1	1	0	0	0
12575.333	1	-1009.667	1	1	0	0	0	0	0
8631	1	-1558	1	0	0	0	0	0	0
20499.666	1	-3273.334	0	0	1	1	0	0	0
9756.667	0	-432.33301	1	0	0	0	0	0	0
9546	1	-643	1	0	0	0	0	0	0
15326.667	0	-1654.333	0	1	1	0	0	0	0
16731.666	1	-249.33398	0	1	1	0	0	0	0
8482.667	0	-1706.333	1	0	0	0	0	0	0
19603	1	2622	0	0	1	1	0	0	0
26698	0	2925	0	0	0	1	1	0	0
31572.666	1	1007.666	0	0	0	0	1	1	0
19986.334	0	3005.334	0	0	1	1	0	0	0
16746.334	1	-234.66602	0	1	1	0	0	0	0
17910.666	1	929.66602	0	0	1	1	0	0	0
18202.666	1	1221.666	0	0	1	1	0	0	0
26274.334	1	2501.334	0	0	0	1	1	0	0
18630.334	1	1649.334	0	0	1	1	0	0	0
9146	0	-1043	1	0	0	0	0	0	0
9352	0	-837	1	0	0	0	0	0	0
18105	1	1124	0	0	1	1	0	0	0
18661.666	0	1680.666	0	0	1	1	0	0	0
13882.667	1	297.66699	0	1	1	0	0	0	0
17011.666	1	30.666016	0	0	1	1	0	0	0
31486	1	921	0	0	0	0	1	1	0
13472.667	1	-112.33301	1	1	0	0	0	0	0
