"name","industry","sector","website","rank"
"IMS Health Holdings","Health Care: Pharmacy and Other Services","Health Care","http://www.imshealth.com",826
"Cinemark Holdings","Entertainment","Media","http://www.cinemark.com",827
"Comerica","Commercial Banks","Financials","http://www.comerica.com",828
"Equity Residential","Real estate","Financials","http://www.equityresidential.com",829
"Ryland Group","Homebuilders","Engineering & Construction","http://www.ryland.com",830
"GNC Holdings","Food and Drug Stores","Food & Drug Stores","http://www.gnc.com",831
"ArcBest","Trucking, Truck Leasing","Transportation","http://www.arcb.com",832
"Vectren","Utilities: Gas and Electric","Energy","http://www.vectren.com",833
"Curtiss-Wright","Aerospace and Defense","Aerospace & Defense","http://www.curtisswright.com",834
"Tupperware Brands","Household and Personal Products","Household Products","http://www.tupperwarebrands.com",835
"Westar Energy","Utilities: Gas and Electric","Energy","http://www.westarenergy.com",836
"Albemarle","Chemicals","Chemicals","http://www.albemarle.com",837
"AptarGroup","Packaging, Containers","Materials","http://www.aptar.com",838
"Pinnacle Foods","Food Consumer Products","Food, Beverages & Tobacco","http://www.pinnaclefoods.com",839
"Penn National Gaming","Hotels, Casinos, Resorts","Hotels, Resturants & Leisure","http://www.pngaming.com",840
"J.Crew Group","Specialty Retailers: Apparel","Retailing","http://www.jcrew.com",841
"Vantiv","Financial Data Services","Business Services","http://www.vantiv.com",842
