ibope;;ID;W_orig-1semana;W;UF
1;"""ODMAR PERICLES NASCIMENTO""";ES400;16;41;"""ES"""
33;"""RICARDO REZENDE FERRACO""";ES234;16;41;
;;;;25;"""GO"""
3;"""CLELIA BRANDAO ALVARENGA CRAVEIRO""";GO131;12;37;"""GO"""
4;"""MARTINIANO PEREIRA CAVALCANTE NETO""";GO433;12;37;"""GO"""
1;"""FERNANDO BATISTA LEITE""";;12;37;"""GO"""
3;"""MIGUEL ANGEL DAVICO""";GO404;12;37;"""GO"""
43;"""LUCIA VANIA ABRAO COSTA""";GO451;12;37;"""GO"""
25;"""DEMOSTENES LAZARO XAVIER TORRES""";GO251;12;37;"""GO"""
35;"""IRIS REZENDE MACHADO""";GO151;12;37;"""GO"""
16;"""MAURO MIRANDA SOARES""";GO152;12;37;"""GO"""
1;"""LUCIANO PEDROSO BENTO""";GO231;12;37;"""GO"""
0;"""LUIZ AUGUSTO FERRAZ ROMA""";;12;37;"""GO"""
3;"""CLELIA BRANDAO ALVARENGA CRAVEIRO""";GO131;14;39;"""GO"""
4;"""MARTINIANO PEREIRA CAVALCANTE NETO""";GO433;14;39;"""GO"""
1;"""FERNANDO BATISTA LEITE""";;14;39;"""GO"""
3;"""MIGUEL ANGEL DAVICO""";GO404;14;39;"""GO"""
48;"""LUCIA VANIA ABRAO COSTA""";GO451;14;39;"""GO"""
31;"""DEMOSTENES LAZARO XAVIER TORRES""";GO251;14;39;"""GO"""
36;"""IRIS REZENDE MACHADO""";GO151;14;39;"""GO"""
12;"""MAURO MIRANDA SOARES""";GO152;14;39;"""GO"""
1;"""LUCIANO PEDROSO BENTO""";GO231;14;39;"""GO"""
0;"""LUIZ AUGUSTO FERRAZ ROMA""";;14;39;
;;;;25;"""MA"""
67;"""ROSEANA SARNEY MURAD""";;11;36;"""MA"""
39;"""EDISON LOBAO""";;11;36;"""MA"""
42;"""EPITACIO CAFETEIRA AFONSO PEREIRA""";MA123;11;36;"""MA"""
10;"""HAROLDO FREITAS PIRES DE SABOIA""";MA131;11;36;"""MA"""
0;José Carlos Sabóia;;11;36;"""MA"""
0;Raimundo Cabeludo;;11;36;"""MA"""
4;"""TEREZINHA DE JESUS ALMEIDA SILVA REGO""";;11;36;"""MA"""
1;"""FREDERICO LUIZ MACIEL DOS SANTOS""";;11;36;"""MA"""
2;"""ILDEMAR GONCALVES DOS SANTOS""";;11;36;"""MA"""
1;"""MANOEL ANTONIO VEIGA DA COSTA""";;11;36;"""MA"""
1;"""RAMON SILVA GOMES""";MA163;11;36;"""MA"""
65;"""ROSEANA SARNEY MURAD""";;13;38;"""MA"""
39;"""EDISON LOBAO""";;13;38;"""MA"""
39;"""EPITACIO CAFETEIRA AFONSO PEREIRA""";MA123;13;38;"""MA"""
11;"""HAROLDO FREITAS PIRES DE SABOIA""";MA131;13;38;"""MA"""
0;José Carlos Sabóia;;13;38;"""MA"""
0;Raimundo Cabeludo;;13;38;"""MA"""
4;"""TEREZINHA DE JESUS ALMEIDA SILVA REGO""";;13;38;"""MA"""
1;"""FREDERICO LUIZ MACIEL DOS SANTOS""";;13;38;"""MA"""
4;"""ILDEMAR GONCALVES DOS SANTOS""";;13;38;"""MA"""
1;"""MANOEL ANTONIO VEIGA DA COSTA""";;13;38;"""MA"""
1;"""RAMON SILVA GOMES""";MA163;13;38;"""MA"""
65;"""ROSEANA SARNEY MURAD""";;16;41;"""MA"""
41;"""EDISON LOBAO""";;16;41;"""MA"""
41;"""EPITACIO CAFETEIRA AFONSO PEREIRA""";MA123;16;41;"""MA"""
13;"""HAROLDO FREITAS PIRES DE SABOIA""";MA131;16;41;"""MA"""
0;José Carlos Sabóia;;16;41;"""MA"""
0;Raimundo Cabeludo;;16;41;"""MA"""
4;"""TEREZINHA DE JESUS ALMEIDA SILVA REGO""";;16;41;"""MA"""
0;"""FREDERICO LUIZ MACIEL DOS SANTOS""";;16;41;"""MA"""
5;"""ILDEMAR GONCALVES DOS SANTOS""";;16;41;"""MA"""
0;"""MANOEL ANTONIO VEIGA DA COSTA""";;16;41;"""MA"""
0;"""RAMON SILVA GOMES""";MA163;16;41;
;;;;25;"""MT"""
50;"""DANTE MARTINS DE OLIVEIRA""";MT455;10;35;"""MT"""
0;José Riva;;10;35;"""MT"""
19;"""SERYS MARLY SLHESSARENKO""";MT131;10;35;"""MT"""
0;Júlio Campos;;10;35;"""MT"""
31;"""CARLOS GOMES BEZERRA""";MT155;10;35;"""MT"""
27;"""JONAS PINHEIRO DA SILVA""";MT251;10;35;"""MT"""
1;Juca do Guarana;;10;35;"""MT"""
2;"""MARIO MARCIO GOMES TORRES""";MT121;10;35;"""MT"""
9;"""MURILO DOMINGOS""";MT141;10;35;"""MT"""
2;"""JACY RIBEIRO DE PROENCA""";MT404;10;35;"""MT"""
0;"""JAQUES SOUZA DE CARVALHO""";;10;35;"""MT"""
39;"""DANTE MARTINS DE OLIVEIRA""";MT455;13;38;"""MT"""
0;José Riva;;13;38;"""MT"""
26;"""SERYS MARLY SLHESSARENKO""";MT131;13;38;"""MT"""
0;Júlio Campos;;13;38;"""MT"""
21;"""CARLOS GOMES BEZERRA""";MT155;13;38;"""MT"""
33;"""JONAS PINHEIRO DA SILVA""";MT251;13;38;"""MT"""
0;Juca do Guarana;;13;38;"""MT"""
2;"""MARIO MARCIO GOMES TORRES""";MT121;13;38;"""MT"""
12;"""MURILO DOMINGOS""";MT141;13;38;"""MT"""
3;"""JACY RIBEIRO DE PROENCA""";MT404;13;38;"""MT"""
0;"""JAQUES SOUZA DE CARVALHO""";;13;38;"""MT"""
33;"""DANTE MARTINS DE OLIVEIRA""";MT455;16;41;"""MT"""
0;José Riva;;16;41;"""MT"""
41;"""SERYS MARLY SLHESSARENKO""";MT131;16;41;"""MT"""
0;Júlio Campos;;16;41;"""MT"""
20;"""CARLOS GOMES BEZERRA""";MT155;16;41;"""MT"""
41;"""JONAS PINHEIRO DA SILVA""";MT251;16;41;"""MT"""
0;Juca do Guarana;;16;41;"""MT"""
3;"""MARIO MARCIO GOMES TORRES""";MT121;16;41;"""MT"""
16;"""MURILO DOMINGOS""";MT141;16;41;"""MT"""
5;"""JACY RIBEIRO DE PROENCA""";MT404;16;41;"""MT"""
1;"""JAQUES SOUZA DE CARVALHO""";;16;41;
;;;;25;"""MS"""
4;"""ATHAYDE NERY DE FREITAS JUNIOR""";MS234;10;35;"""MS"""
2;"""CARLOS ANTONIO MENEZES LEITE""";MS432;10;35;"""MS"""
18;"""DELCIDIO AMARAL GOMEZ""";MS138;10;35;"""MS"""
2;"""UBIRAJARA BORGES MARTINS""";MS404;10;35;"""MS"""
1;"""JOAO DERLI FARIAS SOUZA""";;10;35;"""MS"""
33;"""PEDRO PEDROSSIAN""";MS180;10;35;"""MS"""
42;"""RAMEZ TEBET""";MS151;10;35;"""MS"""
6;"""ATHAYDE NERY DE FREITAS JUNIOR""";MS234;13;38;"""MS"""
5;"""CARLOS ANTONIO MENEZES LEITE""";MS432;13;38;"""MS"""
31;"""DELCIDIO AMARAL GOMEZ""";MS138;13;38;"""MS"""
2;"""UBIRAJARA BORGES MARTINS""";MS404;13;38;"""MS"""
3;"""JOAO DERLI FARIAS SOUZA""";;13;38;"""MS"""
43;"""PEDRO PEDROSSIAN""";MS180;13;38;"""MS"""
55;"""RAMEZ TEBET""";MS151;13;38;"""MS"""
9;"""ATHAYDE NERY DE FREITAS JUNIOR""";MS234;16;41;"""MS"""
4;"""CARLOS ANTONIO MENEZES LEITE""";MS432;16;41;"""MS"""
39;"""DELCIDIO AMARAL GOMEZ""";MS138;16;41;"""MS"""
4;"""UBIRAJARA BORGES MARTINS""";MS404;16;41;"""MS"""
2;"""JOAO DERLI FARIAS SOUZA""";;16;41;"""MS"""
39;"""PEDRO PEDROSSIAN""";MS180;16;41;"""MS"""
62;"""RAMEZ TEBET""";MS151;16;41;
;;;;25;"""MG"""
0;Patrus Ananias;;10;35;"""MG"""
26;"""HELIO CALIXTO DA COSTA""";;10;35;"""MG"""
0;Newton Cardoso;;10;35;"""MG"""
0;Aécio Neves;;10;35;"""MG"""
38;"""EDUARDO BRANDAO DE AZEREDO""";;10;35;"""MG"""
9;"""JUNIA MARISE AZEREDO COUTINHO""";;10;35;"""MG"""
0;Arlindo Porto;;10;35;"""MG"""
0;Clésio Andrade;;10;35;"""MG"""
0;Francelino Pereira;;10;35;"""MG"""
4;"""TILDEN JOSE SANTIAGO""";MG131;10;35;"""MG"""
14;"""JOSE PERRELLA DE OLIVEIRA COSTA""";;10;35;"""MG"""
0;"""AMOS LOPES DE CARVALHO""";;10;35;"""MG"""
0;"""ANGELO ELMO DE MELO""";;10;35;"""MG"""
1;"""CAMILO DOS SANTOS""";;10;35;"""MG"""
0;"""CASSIANO RICARDO FREITAS""";;10;35;"""MG"""
